year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.159365,66.8006,0.099792,3.1374,1.134,0.4032,0.252,0.013608,
2,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
3,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
4,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
5,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
6,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
7,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
8,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
9,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
10,0.0531216,22.2669,0.033264,1.0458,0.378,0.1344,0.084,0.004536,
