year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.103896,43.5497,0.24239,4.00798,2.63444,0.352708,0.967229,0.0916731,
2,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
3,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
4,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
5,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
6,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
7,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
8,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
9,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
10,0.0173159,7.25828,0.0403983,0.667996,0.439073,0.0587847,0.161205,0.0152788,
