year,in_reactor+U235,in_reactor+U238,in_reactor+PU238,in_reactor+PU239,in_reactor+PU240,in_reactor+PU241,in_reactor+PU242,in_reactor+AM241,
0,0,0,0,0,0,0,0,0,
1,0.159365,66.8006,0.157248,2.60014,1.22573,0.5922,0.405216,0.059472,
2,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
3,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
4,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
5,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
6,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
7,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
8,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
9,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
10,0.0531216,22.2669,0.052416,0.866712,0.408576,0.1974,0.135072,0.019824,
