year,out_reactor+HG206,out_reactor+TL206,out_reactor+TL207,out_reactor+TL208,out_reactor+TL209,out_reactor+TL210,out_reactor+PB209,out_reactor+PB210,out_reactor+PB211,out_reactor+PB212,out_reactor+PB214,out_reactor+BI210,out_reactor+BI211,out_reactor+BI212,out_reactor+BI213,out_reactor+BI214,out_reactor+BI215,out_reactor+PO210,out_reactor+PO211,out_reactor+PO212,out_reactor+PO213,out_reactor+PO214,out_reactor+PO215,out_reactor+PO216,out_reactor+PO218,out_reactor+AT215,out_reactor+AT217,out_reactor+AT218,out_reactor+AT219,out_reactor+RN217,out_reactor+RN218,out_reactor+RN219,out_reactor+RN220,out_reactor+RN222,out_reactor+FR221,out_reactor+FR223,out_reactor+RA223,out_reactor+RA224,out_reactor+RA225,out_reactor+RA226,out_reactor+RA228,out_reactor+AC225,out_reactor+AC227,out_reactor+AC228,out_reactor+TH227,out_reactor+TH228,out_reactor+TH229,out_reactor+TH230,out_reactor+TH231,out_reactor+TH232,out_reactor+TH234,out_reactor+PA231,out_reactor+PA233,out_reactor+PA234,out_reactor+PA234(1),out_reactor+U233,out_reactor+U234,out_reactor+U235,out_reactor+U235(1),out_reactor+U236,out_reactor+U237,out_reactor+U238,out_reactor+NP237,out_reactor+PU238,out_reactor+PU239,out_reactor+PU240,out_reactor+PU241,out_reactor+PU242,out_reactor+AM241,out_reactor+O16,out_reactor+O17,out_reactor+O18,out_reactor+PB206,out_reactor+PB207,out_reactor+PB208,out_reactor+BI209,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1.85098e-33,6.72235e-32,1.24298e-22,1.8206e-31,1.08679e-28,4.78151e-28,4.46439e-25,1.18119e-19,9.61506e-22,1.07897e-28,4.78239e-23,8.79637e-23,5.77971e-23,1.02336e-29,1.06261e-25,3.55181e-23,2.10873e-28,6.06617e-22,6.25328e-28,5.41236e-40,1.59651e-34,4.90726e-30,8.0514e-28,4.1615e-34,5.54549e-24,1.8093e-34,1.27846e-30,9.69703e-30,2.69318e-29,2.56484e-36,2.12122e-34,1.82453e-24,1.62527e-31,1.01984e-20,1.18513e-26,1.10711e-23,4.63321e-19,9.30889e-28,6.10227e-23,1.48527e-15,7.15031e-24,3.54586e-23,4.24416e-16,8.72435e-28,8.46681e-19,1.74411e-25,1.24538e-17,5.79231e-10,2.16063e-13,4.77034e-13,3.23277e-10,4.23673e-11,3.23986e-12,4.86816e-15,1.08989e-14,1.2005e-11,0.00042908,0.0531376,1.30463e-09,3.72567e-05,7.90935e-09,22.2669,0.000103275,0.0667237,0.647287,0.412569,0.255795,0.214704,0.081918,3.21744,0.00130214,0.0072565,1.52216e-22,2.54323e-18,9.50307e-27,1.54937e-22,
3,3.12581e-32,1.13522e-30,6.88658e-22,2.86286e-30,1.37716e-27,4.2962e-27,5.65718e-24,2.19625e-18,5.32709e-21,1.69665e-27,4.29699e-22,1.48547e-21,3.20217e-22,1.60921e-28,1.34652e-24,3.19131e-22,1.04649e-27,1.66635e-20,3.46454e-27,8.51082e-39,2.02307e-33,4.40918e-29,4.46076e-27,6.54387e-33,4.98263e-23,1.00242e-33,1.62004e-29,8.71279e-29,1.33653e-28,3.25012e-35,1.90592e-33,1.01086e-23,2.5557e-30,9.16324e-20,1.50177e-25,5.49417e-23,2.56696e-18,1.4638e-26,7.1946e-22,1.37486e-14,6.28573e-23,4.49325e-22,2.11546e-15,7.66943e-27,4.48632e-18,2.82789e-24,1.40471e-16,2.9023e-09,4.32193e-13,2.44104e-12,6.46582e-10,1.31038e-10,1.06486e-11,9.73674e-15,2.17987e-14,6.85773e-11,0.00132371,0.106292,2.60922e-09,0.000113074,1.54834e-08,44.5338,0.000330381,0.132974,1.29456,0.825098,0.500745,0.429407,0.174585,6.43487,0.00260428,0.014513,9.24594e-21,2.70224e-17,3.22694e-25,4.05198e-21,
4,1.82788e-31,6.63844e-30,2.25284e-21,1.57477e-29,6.56787e-27,1.81143e-26,2.69798e-23,1.32166e-17,1.74268e-20,9.33275e-27,1.81176e-21,8.68657e-21,1.04754e-21,8.85178e-28,6.42171e-24,1.34557e-21,3.33089e-27,1.19573e-19,1.13337e-26,4.68153e-38,9.64826e-33,1.85906e-28,1.45927e-26,3.59958e-32,2.10085e-22,3.27927e-33,7.72618e-29,3.67362e-28,4.25407e-28,1.55002e-34,8.03605e-33,3.30687e-23,1.40581e-29,3.86355e-19,7.16213e-25,1.74875e-22,8.39742e-18,8.05193e-26,3.36009e-21,5.84835e-14,2.60331e-22,2.14288e-21,6.74061e-15,3.17639e-26,1.45173e-17,1.56846e-23,6.46711e-16,9.28399e-09,1.08052e-12,7.85592e-12,1.61644e-09,3.5076e-10,2.92129e-11,2.43416e-14,5.44962e-14,2.31064e-10,0.00353873,0.265737,6.52304e-09,0.000301961,3.8555e-08,111.334,0.00090275,0.332203,3.23639,2.06273,1.2469,1.07352,0.441358,16.0872,0.0065107,0.0362825,9.83284e-20,1.19659e-16,2.62535e-24,2.78801e-20,
5,3.87579e-31,1.4076e-29,4.57285e-21,3.34479e-29,1.39695e-26,3.8134e-26,5.73845e-23,2.80388e-17,3.53731e-20,1.98227e-26,3.8141e-21,1.84188e-20,2.12632e-21,1.88011e-27,1.36586e-23,2.83268e-21,6.65389e-27,2.52776e-19,2.30054e-26,9.94353e-38,2.05213e-32,3.91368e-28,2.96205e-26,7.64546e-32,4.42269e-22,6.6563e-33,1.64332e-28,7.73367e-28,8.49807e-28,3.29681e-34,1.69174e-32,6.71233e-23,2.98593e-29,8.1335e-19,1.52335e-24,3.49336e-22,1.70452e-17,1.71022e-25,7.13453e-21,1.23289e-13,5.47768e-22,4.5578e-21,1.34746e-14,6.6835e-26,2.92875e-17,3.33251e-23,1.37163e-15,1.85741e-08,1.51291e-12,1.57677e-11,2.26308e-09,6.20722e-10,5.28751e-11,3.40792e-14,7.62968e-14,4.7068e-10,0.00625577,0.372078,9.13216e-09,0.000530714,5.30466e-08,155.868,0.00161951,0.463762,4.53089,2.88771,1.71557,1.50292,0.647711,22.5221,0.00911497,0.0507955,2.05142e-19,2.53624e-16,5.52587e-24,5.90375e-20,
6,8.03507e-31,2.91815e-29,8.07955e-21,6.85113e-29,2.77297e-26,7.33794e-26,1.13909e-22,5.84309e-17,6.24991e-20,4.06027e-26,7.33929e-21,3.81848e-20,3.75689e-21,3.85102e-27,2.71127e-23,5.45079e-21,1.16171e-26,5.42413e-19,4.06471e-26,2.03673e-37,4.07352e-32,7.53092e-28,5.23351e-26,1.56602e-31,8.51038e-22,1.17607e-32,3.26201e-28,1.48815e-27,1.48369e-27,6.54423e-34,3.25534e-32,1.18597e-22,6.11607e-29,1.56509e-18,3.02387e-24,6.09911e-22,3.01163e-17,3.50304e-25,1.40929e-20,2.37804e-13,1.04873e-21,9.04732e-21,2.35369e-14,1.27959e-25,5.15074e-17,6.83698e-23,2.70006e-15,3.25e-08,2.16143e-12,2.76632e-11,3.23297e-09,9.79381e-10,8.496e-11,4.86845e-14,1.08995e-13,8.41541e-10,0.00986083,0.531573,1.30459e-08,0.000835276,7.51406e-08,222.669,0.00259313,0.661578,6.47267,4.12522,2.43011,2.14703,0.945776,32.1744,0.0130214,0.072565,4.62534e-19,4.94339e-16,1.20731e-23,1.2585e-19,
7,1.12302e-30,4.07854e-29,1.09022e-20,9.56873e-29,3.86189e-26,1.01487e-25,1.5864e-22,8.17228e-17,8.43335e-20,5.67084e-26,1.01505e-20,5.33687e-20,5.06938e-21,5.37859e-27,3.77595e-23,7.53865e-21,1.55454e-26,7.60042e-19,5.48474e-26,2.84463e-37,5.67315e-32,1.04155e-27,7.06187e-26,2.1872e-31,1.17702e-21,1.58694e-32,4.54297e-28,2.05817e-27,1.9854e-27,9.11407e-34,4.50225e-32,1.6003e-22,8.5421e-29,2.16458e-18,4.21131e-24,8.16151e-22,4.06376e-17,4.89258e-25,1.96054e-20,3.2914e-13,1.44933e-21,1.26001e-20,3.15074e-14,1.76838e-25,6.92822e-17,9.55159e-23,3.75338e-15,4.35318e-08,2.16177e-12,3.71177e-11,3.23305e-09,1.21093e-09,1.06818e-10,4.86858e-14,1.08998e-13,1.13905e-09,0.0121819,0.531656,1.30457e-08,0.00102807,7.34924e-08,222.669,0.00324205,0.65922,6.47259,4.12502,2.37681,2.14703,0.998564,32.1744,0.0130214,0.072565,6.48727e-19,6.86289e-16,1.69251e-23,1.76319e-19,
8,1.47828e-30,5.36877e-29,1.31559e-20,1.25207e-28,4.97334e-26,1.28618e-25,2.04297e-22,1.07841e-16,1.01767e-19,7.4203e-26,1.28641e-20,7.02518e-20,6.11731e-21,7.0379e-27,4.86267e-23,9.55402e-21,1.86265e-26,1.01696e-18,6.61854e-26,3.7222e-37,7.30589e-32,1.32e-27,8.52169e-26,2.86196e-31,1.49168e-21,1.91499e-32,5.85044e-28,2.6084e-27,2.3789e-27,1.17371e-33,5.70588e-32,1.93111e-22,1.11774e-28,2.74325e-18,5.42333e-24,9.77913e-22,4.90382e-17,6.40195e-25,2.51859e-20,4.17643e-13,1.83173e-21,1.62264e-20,3.77632e-14,2.23496e-25,8.33762e-17,1.25079e-22,4.81332e-15,5.22323e-08,2.16197e-12,4.46081e-11,3.23305e-09,1.34988e-09,1.20846e-10,4.86858e-14,1.08998e-13,1.38476e-09,0.0135687,0.531705,1.30456e-08,0.00114374,7.25291e-08,222.669,0.00365819,0.657812,6.47254,4.1249,2.34565,2.14703,1.02938,32.1744,0.0130214,0.072565,8.8778e-19,8.75502e-16,2.28365e-23,2.35182e-19,
9,1.47828e-30,5.36877e-29,1.31559e-20,1.25207e-28,4.97334e-26,1.28618e-25,2.04297e-22,1.07841e-16,1.01767e-19,7.4203e-26,1.28641e-20,7.02518e-20,6.11731e-21,7.0379e-27,4.86267e-23,9.55402e-21,1.86265e-26,1.01696e-18,6.61854e-26,3.7222e-37,7.30589e-32,1.32e-27,8.52169e-26,2.86196e-31,1.49168e-21,1.91499e-32,5.85044e-28,2.6084e-27,2.3789e-27,1.17371e-33,5.70588e-32,1.93111e-22,1.11774e-28,2.74325e-18,5.42333e-24,9.77913e-22,4.90382e-17,6.40195e-25,2.51859e-20,4.17643e-13,1.83173e-21,1.62264e-20,3.77632e-14,2.23496e-25,8.33762e-17,1.25079e-22,4.81332e-15,5.22323e-08,2.16197e-12,4.46081e-11,3.23305e-09,1.34988e-09,1.20846e-10,4.86858e-14,1.08998e-13,1.38476e-09,0.0135687,0.531705,1.30456e-08,0.00114374,7.25291e-08,222.669,0.00365819,0.657812,6.47254,4.1249,2.34565,2.14703,1.02938,32.1744,0.0130214,0.072565,8.8778e-19,8.75502e-16,2.28365e-23,2.35182e-19,
