year,out_reactor+HG206,out_reactor+TL206,out_reactor+TL207,out_reactor+TL208,out_reactor+TL209,out_reactor+TL210,out_reactor+PB209,out_reactor+PB210,out_reactor+PB211,out_reactor+PB212,out_reactor+PB214,out_reactor+BI210,out_reactor+BI211,out_reactor+BI212,out_reactor+BI213,out_reactor+BI214,out_reactor+BI215,out_reactor+PO210,out_reactor+PO211,out_reactor+PO212,out_reactor+PO213,out_reactor+PO214,out_reactor+PO215,out_reactor+PO216,out_reactor+PO218,out_reactor+AT215,out_reactor+AT217,out_reactor+AT218,out_reactor+AT219,out_reactor+RN217,out_reactor+RN218,out_reactor+RN219,out_reactor+RN220,out_reactor+RN222,out_reactor+FR221,out_reactor+FR223,out_reactor+RA223,out_reactor+RA224,out_reactor+RA225,out_reactor+RA226,out_reactor+RA228,out_reactor+AC225,out_reactor+AC227,out_reactor+AC228,out_reactor+TH227,out_reactor+TH228,out_reactor+TH229,out_reactor+TH230,out_reactor+TH231,out_reactor+TH232,out_reactor+TH234,out_reactor+PA231,out_reactor+PA233,out_reactor+PA234,out_reactor+PA234(1),out_reactor+U233,out_reactor+U234,out_reactor+U235,out_reactor+U235(1),out_reactor+U236,out_reactor+U237,out_reactor+U238,out_reactor+NP237,out_reactor+PU238,out_reactor+PU239,out_reactor+PU240,out_reactor+PU241,out_reactor+PU242,out_reactor+AM241,out_reactor+O16,out_reactor+O17,out_reactor+O18,out_reactor+PB206,out_reactor+PB207,out_reactor+PB208,out_reactor+BI209,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1.32808e-33,4.8233e-32,1.24301e-22,2.5137e-31,2.01775e-29,3.43074e-28,8.28889e-26,8.47502e-20,9.61526e-22,1.48973e-28,3.43137e-23,6.3114e-23,5.77983e-23,1.41296e-29,1.97284e-26,2.54843e-23,2.10878e-28,4.35248e-22,6.2534e-28,7.47284e-40,2.96409e-35,3.52096e-30,8.05156e-28,5.74578e-34,3.9789e-24,1.80934e-34,2.3736e-31,6.95763e-30,2.69324e-29,4.76189e-37,1.52198e-34,1.82457e-24,2.24401e-31,7.31734e-21,2.20031e-27,1.10713e-23,4.63331e-19,1.28528e-27,1.1338e-23,1.06569e-15,9.87243e-24,6.58326e-24,4.24426e-16,1.20457e-27,8.46699e-19,2.40809e-25,2.31479e-18,4.15599e-10,2.16078e-13,6.58641e-13,3.23277e-10,4.23686e-11,6.13112e-13,4.86816e-15,1.08989e-14,2.24624e-12,0.000307866,0.0531411,1.59108e-09,5.14403e-05,2.25839e-09,22.2669,1.95811e-05,0.0478742,0.789412,0.569634,0.0730383,0.183456,0.0160458,3.21767,0.00130223,0.00725702,1.09215e-22,2.54327e-18,1.31209e-26,2.86719e-23,
3,2.24278e-32,8.14525e-31,6.88684e-22,3.95275e-30,2.60241e-28,3.08253e-27,1.06906e-24,1.57582e-18,5.32729e-21,2.34257e-27,3.08309e-22,1.06583e-21,3.20229e-22,2.22184e-28,2.5445e-25,2.28977e-22,1.04653e-27,1.19561e-20,3.46467e-27,1.17509e-38,3.82297e-34,3.16359e-29,4.46093e-27,9.03512e-33,3.57504e-23,1.00246e-33,3.06138e-30,6.25144e-29,1.33658e-28,6.14171e-36,1.3675e-33,1.0109e-23,3.52866e-30,6.57464e-20,2.83788e-26,5.49439e-23,2.56706e-18,2.02108e-26,1.36042e-22,9.86466e-15,8.67871e-23,8.49085e-23,2.11554e-15,1.05892e-26,4.4865e-18,3.90447e-24,2.65727e-17,2.0824e-09,4.32237e-13,3.37034e-12,6.46582e-10,1.31045e-10,2.06316e-12,9.73674e-15,2.17987e-14,1.30935e-11,0.000949762,0.106302,3.18213e-09,0.000156121,4.42104e-09,44.5338,6.41132e-05,0.0954092,1.5788,1.13921,0.14298,0.366911,0.0351712,6.43533,0.00260446,0.014514,6.63397e-21,2.70232e-17,4.45544e-25,7.61247e-22,
4,1.31151e-31,4.76309e-30,2.25296e-21,2.17428e-29,1.25846e-27,1.2997e-26,5.16967e-24,9.4829e-18,1.74277e-20,1.28857e-26,1.29994e-21,6.23263e-21,1.0476e-21,1.22217e-27,1.23046e-24,9.65448e-22,3.33107e-27,8.57935e-20,1.13343e-26,6.4638e-38,1.84869e-33,1.33388e-28,1.45935e-26,4.96994e-32,1.50736e-22,3.27944e-33,1.48041e-29,2.63583e-28,4.2543e-28,2.96998e-35,5.76588e-33,3.30704e-23,1.941e-29,2.7721e-19,1.37233e-25,1.74885e-22,8.39786e-18,1.11173e-25,6.44137e-22,4.1962e-14,3.59439e-22,4.10596e-22,6.74098e-15,4.38564e-26,1.45181e-17,2.16558e-23,1.24018e-16,6.66128e-09,1.08063e-12,1.08467e-11,1.61644e-09,3.50783e-10,5.72161e-12,2.43416e-14,5.44962e-14,4.47148e-11,0.00253905,0.265766,7.9553e-09,0.000416918,1.10088e-08,111.334,0.000177023,0.238356,3.947,2.84801,0.356033,0.917278,0.0893316,16.0883,0.00651116,0.0362851,7.05507e-20,1.19664e-16,3.62482e-24,5.30495e-21,
5,2.78089e-31,1.00995e-29,4.5731e-21,4.61815e-29,2.67628e-27,2.73612e-26,1.0994e-23,2.01179e-17,3.53751e-20,2.73692e-26,2.73662e-21,1.32155e-20,2.12643e-21,2.59587e-27,2.61673e-24,2.03245e-21,6.65427e-27,1.81367e-19,2.30066e-26,1.3729e-37,3.93148e-33,2.80807e-28,2.96221e-26,1.05561e-31,3.17329e-22,6.65666e-33,3.14827e-29,5.54892e-28,8.49856e-28,6.31604e-35,1.21383e-32,6.7127e-23,4.12267e-29,5.8358e-19,2.91843e-25,3.49356e-22,1.70461e-17,2.3613e-25,1.36763e-21,8.84602e-14,7.56303e-22,8.73185e-22,1.34754e-14,9.22791e-26,2.92891e-17,4.6012e-23,2.63034e-16,1.3327e-08,1.51312e-12,2.17705e-11,2.26308e-09,6.20769e-10,1.04408e-11,3.40792e-14,7.62968e-14,9.12919e-11,0.00448853,0.372128,1.11373e-08,0.000732756,1.51466e-08,155.868,0.000320253,0.332749,5.52574,3.98706,0.489855,1.28419,0.133606,22.5237,0.00911562,0.0507991,1.47189e-19,2.53636e-16,7.62958e-24,1.12278e-20,
6,5.76517e-31,2.09378e-29,8.08004e-21,9.45935e-29,5.33e-27,5.26499e-26,2.18952e-23,4.19243e-17,6.25029e-20,5.60602e-26,5.26595e-21,2.73976e-20,3.75711e-21,5.31711e-27,5.21139e-24,3.91095e-21,1.16178e-26,3.89182e-19,4.06495e-26,2.81212e-37,7.82981e-33,5.40344e-28,5.23383e-26,2.1622e-31,6.10621e-22,1.17614e-32,6.27e-29,1.06775e-27,1.48378e-27,1.25788e-34,2.33571e-32,1.18604e-22,8.44446e-29,1.12295e-18,5.81225e-25,6.09949e-22,3.01182e-17,4.83665e-25,2.71052e-21,1.70625e-13,1.44798e-21,1.73901e-21,2.35384e-14,1.76673e-25,5.15106e-17,9.43982e-23,5.19537e-16,2.33188e-08,2.16176e-12,3.81946e-11,3.23297e-09,9.79464e-10,1.69006e-11,4.86845e-14,1.08995e-13,1.64077e-10,0.00707516,0.531652,1.59103e-08,0.00115327,2.14553e-08,222.669,0.000516543,0.474682,7.89387,5.69569,0.693881,1.83455,0.196732,32.1767,0.0130223,0.0725702,3.31869e-19,4.94362e-16,1.66694e-23,2.3983e-20,
7,8.05766e-31,2.92636e-29,1.09029e-20,1.32115e-28,7.42526e-27,7.28168e-26,3.05024e-23,5.86363e-17,8.43388e-20,7.82973e-26,7.28302e-21,3.82922e-20,5.06969e-21,7.42622e-27,7.26003e-24,5.40899e-21,1.55464e-26,5.45331e-19,5.48508e-26,3.92758e-37,1.09078e-32,7.47317e-28,7.06231e-26,3.01987e-31,8.44512e-22,1.58704e-32,8.73478e-29,1.47674e-27,1.98552e-27,1.75237e-34,3.23038e-32,1.60039e-22,1.17941e-28,1.55309e-18,8.0971e-25,8.16204e-22,4.06402e-17,6.75518e-25,3.77205e-21,2.36159e-13,2.0011e-21,2.42262e-21,3.15094e-14,2.4416e-25,6.92866e-17,1.31879e-22,7.22481e-16,3.12342e-08,2.16217e-12,5.12484e-11,3.23305e-09,1.21104e-09,2.13758e-11,4.86858e-14,1.08998e-13,2.22443e-10,0.00874057,0.531752,1.59101e-08,0.00141946,2.09846e-08,222.669,0.000649826,0.472991,7.89377,5.69542,0.67866,1.83455,0.211858,32.1767,0.0130223,0.0725702,4.65463e-19,6.86322e-16,2.33685e-23,3.36023e-20,
8,1.06067e-30,3.8521e-29,1.31567e-20,1.72873e-28,9.57867e-27,9.22835e-26,3.93484e-23,7.73758e-17,1.01774e-19,1.02452e-25,9.23004e-21,5.04057e-20,6.11771e-21,9.71723e-27,9.36552e-24,6.85502e-21,1.86278e-26,7.29669e-19,6.61897e-26,5.13925e-37,1.40712e-32,9.47103e-28,8.52225e-26,3.95151e-31,1.07028e-21,1.91511e-32,1.1268e-28,1.87153e-27,2.37907e-27,2.26057e-34,4.09398e-32,1.93123e-22,1.54326e-28,1.96829e-18,1.04453e-24,9.7798e-22,4.90414e-17,8.83917e-25,4.85419e-21,2.9966e-13,2.52907e-21,3.12521e-21,3.77658e-14,3.0858e-25,8.33817e-17,1.72697e-22,9.28153e-16,3.74768e-08,2.16241e-12,6.15905e-11,3.23305e-09,1.35001e-09,2.43223e-11,4.86858e-14,1.08998e-13,2.71288e-10,0.00973555,0.531812,1.591e-08,0.00157917,2.07096e-08,222.669,0.000737472,0.47198,7.89371,5.69526,0.669764,1.83455,0.220688,32.1767,0.0130223,0.0725702,6.36983e-19,8.75545e-16,3.15303e-23,4.48636e-20,
9,1.06067e-30,3.8521e-29,1.31567e-20,1.72873e-28,9.57867e-27,9.22835e-26,3.93484e-23,7.73758e-17,1.01774e-19,1.02452e-25,9.23004e-21,5.04057e-20,6.11771e-21,9.71723e-27,9.36552e-24,6.85502e-21,1.86278e-26,7.29669e-19,6.61897e-26,5.13925e-37,1.40712e-32,9.47103e-28,8.52225e-26,3.95151e-31,1.07028e-21,1.91511e-32,1.1268e-28,1.87153e-27,2.37907e-27,2.26057e-34,4.09398e-32,1.93123e-22,1.54326e-28,1.96829e-18,1.04453e-24,9.7798e-22,4.90414e-17,8.83917e-25,4.85419e-21,2.9966e-13,2.52907e-21,3.12521e-21,3.77658e-14,3.0858e-25,8.33817e-17,1.72697e-22,9.28153e-16,3.74768e-08,2.16241e-12,6.15905e-11,3.23305e-09,1.35001e-09,2.43223e-11,4.86858e-14,1.08998e-13,2.71288e-10,0.00973555,0.531812,1.591e-08,0.00157917,2.07096e-08,222.669,0.000737472,0.47198,7.89371,5.69526,0.669764,1.83455,0.220688,32.1767,0.0130223,0.0725702,6.36983e-19,8.75545e-16,3.15303e-23,4.48636e-20,
