 ,EG00_fresh_recipe,EG00_used_recipe,EG01_fresh_recipe,EG01_used_recipe,EG02_fresh_recipe,EG02_used_recipe,EG03_fresh_recipe,EG03_used_recipe,EG04_fresh_recipe,EG04_used_recipe,EG05_fresh_recipe,EG05_used_recipe,EG06_fresh_recipe,EG06_used_recipe,EG07_fresh_recipe,EG07_used_recipe,EG08_fresh_recipe,EG08_used_recipe,EG09_fresh_recipe,EG09_used_recipe,EG10_fresh_recipe,EG10_used_recipe,EG11_fresh_recipe,EG11_used_recipe,EG12_1_fresh_recipe,EG12_1_used_recipe,EG12_2_fresh_recipe,EG12_2_used_recipe,EG13_1_fresh_recipe,EG13_1_used_recipe,EG13_2_fresh_recipe,EG13_2_used_recipe,EG14_1_fresh_recipe,EG14_1_used_recipe,EG14_2_fresh_recipe,EG14_2_used_recipe,EG15_1_fresh_recipe,EG15_1_used_recipe,EG15_2_fresh_recipe,EG15_2_used_recipe,EG16_1_fresh_recipe,EG16_1_used_recipe,EG16_2_fresh_recipe,EG16_2_used_recipe,EG17_1_fresh_recipe,EG17_1_used_recipe,EG17_2_fresh_recipe,EG17_2_used_recipe,EG18_1_fresh_recipe,EG18_1_used_recipe,EG18_2_fresh_recipe,EG18_2_used_recipe,EG19_fresh_recipe,EG19_used_recipe,EG20_fresh_recipe,EG20_used_recipe,EG21_fresh_recipe,EG21_used_recipe,EG22_fresh_recipe,EG22_used_recipe,EG23_fresh_recipe,EG23_used_recipe,EG24_fresh_recipe,EG24_used_recipe,EG25_fresh_recipe,EG25_used_recipe,EG27_fresh_recipe,EG27_used_recipe,EG28_fresh_recipe,EG28_used_recipe,EG29_1_fresh_recipe,EG29_1_used_recipe,EG29_2_fresh_recipe,EG29_2_used_recipe,EG30_1_fresh_recipe,EG30_1_used_recipe,EG30_2_fresh_recipe,EG30_2_used_recipe,EG31_1_fresh_recipe,EG31_1_used_recipe,EG31_2_fresh_recipe,EG31_2_used_recipe,EG32_1_fresh_recipe,EG32_1_used_recipe,EG32_2_fresh_recipe,EG32_2_used_recipe,EG33_1_fresh_recipe,EG33_1_used_recipe,EG33_2_fresh_recipe,EG33_2_used_recipe,EG34_1_fresh_recipe,EG34_1_used_recipe,EG34_2_fresh_recipe,EG34_2_used_recipe,EG35_1_fresh_recipe,EG35_1_used_recipe,EG35_2_fresh_recipe,EG35_2_used_recipe,EG36_1_fresh_recipe,EG36_1_used_recipe,EG36_2_fresh_recipe,EG36_2_used_recipe,EG37_1_fresh_recipe,EG37_1_used_recipe,EG37_2_fresh_recipe,EG37_2_used_recipe,EG37_3_fresh_recipe,EG37_3_used_recipe,EG38_1_fresh_recipe,EG38_1_used_recipe,EG38_2_fresh_recipe,EG38_2_used_recipe,EG39_1_fresh_recipe,EG39_1_used_recipe,EG39_2_fresh_recipe,EG39_2_used_recipe,EG39_3_fresh_recipe,EG39_3_used_recipe,EG40_1_fresh_recipe,EG40_1_used_recipe,EG40_2_fresh_recipe,EG40_2_used_recipe
H3,0.0,8.545618713056569e-08,0.0,8.545618713056569e-08,0.0,0.0,0.0,1.1699542092726293e-08,0.0,3.0389904453912333e-07,0.0,0.0,0.0,5.893712333365042e-10,0.0,1.205936517892374e-07,0.0,5.097285555151321e-09,0.0,1.19297090604379e-07,0.0,1.6310314814107547e-10,0.0,2.695937436141334e-07,0.0,1.1689561673743641e-08,0.0,8.800052545847483e-08,0.0,8.548168928477202e-08,0.0,1.0159555946987925e-07,0.0,0.0,0.0,6.650861064743784e-08,0.0,8.580756881423973e-08,0.0,0.0,0.0,8.545340526138278e-08,0.0,8.061965646981952e-07,0.0,8.547724509361585e-08,0.0,0.0,0.0,9.105579316912672e-08,0.0,9.836558998573224e-08,0.0,1.3529686858718566e-08,0.0,9.627805268805736e-09,0.0,8.068795787322897e-08,0.0,7.913718761172306e-08,0.0,1.7629869685568715e-07,0.0,2.0170161169640318e-07,0.0,8.511001569168581e-08,0.0,6.192970052915941e-08,0.0,4.922200585272262e-08,0.0,0.0,0.0,6.550753525599366e-08,0.0,0.0,0.0,1.0199764345462474e-07,0.0,8.580858595174438e-08,0.0,0.0,0.0,8.428819816525688e-08,0.0,3.663027930204869e-07,0.0,1.6490545071155606e-07,0.0,1.0230390289358969e-07,0.0,1.652011879170227e-07,0.0,1.0229793125368664e-07,0.0,8.434268102234638e-08,0.0,5.865014453957265e-07,0.0,8.071689448276543e-08,0.0,3.3933583624806694e-07,0.0,8.545407031459235e-08,0.0,2.1391452990898304e-07,0.0,1.0240491054666847e-07,0.0,3.398875199992662e-08,0.0,6.759266963570347e-08,0.0,1.390010987500583e-07,0.0,1.390010987500583e-07,0.0,1.390010987500583e-07,0.0,4.798955667246541e-08,0.0,9.798572018436387e-08
HE6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HE8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE10,0.0,1.9889112591001075e-10,0.0,1.9889112591001075e-10,0.0,0.0,0.0,1.0749579273231423e-12,0.0,1.1089965133066396e-09,0.0,0.0,0.0,0.0,0.0,2.1488868797269581e-10,0.0,0.0,0.0,2.694934276435887e-10,0.0,0.0,0.0,4.983884340403712e-10,0.0,1.0749596919824135e-12,0.0,1.4820088491984057e-10,0.0,1.9890393072930694e-10,0.0,1.935915385174077e-10,0.0,0.0,0.0,1.309972634914202e-10,0.0,2.01094302395334e-10,0.0,0.0,0.0,1.9890792634861366e-10,0.0,1.4979936168666538e-09,0.0,1.9899358649543232e-10,0.0,0.0,0.0,2.385889770497873e-10,0.0,2.345894826741159e-10,0.0,1.380968037833728e-12,0.0,1.2619744754084793e-12,0.0,1.707956773422668e-10,0.0,1.6679407244927224e-10,0.0,3.165976598100428e-10,0.0,0.0,0.0,2.0220003727950733e-10,0.0,9.945951904779906e-11,0.0,8.983366082385357e-11,0.0,0.0,0.0,1.390947665105895e-10,0.0,0.0,0.0,1.9189556646022046e-10,0.0,2.009966877555136e-10,0.0,0.0,0.0,1.968957909448224e-10,0.0,0.0,0.0,2.941097213721567e-10,0.0,1.9150730600315177e-10,0.0,2.948021198422415e-10,0.0,1.9149612742014654e-10,0.0,1.9670625275190342e-10,0.0,1.1310027872848536e-09,0.0,1.7079342886095559e-10,0.0,6.282663493399224e-10,0.0,1.9890947437767604e-10,0.0,3.956268725198396e-10,0.0,2.2031056438897522e-10,0.0,5.6597921835711874e-11,0.0,2.0270800614228576e-10,0.0,2.581020401970506e-10,0.0,2.581020401970506e-10,0.0,2.581020401970506e-10,0.0,0.0,0.0,2.436893561478669e-10
BE11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
